,open,high,low,close,sma5,sma10,sma30,sma60,macd,macd_signal,stoch_d,stoch_k,stoch_j,ts_create_utc,dt,ts_send_utc,ema30_5_span_grad,macd_5_span_grad,macd_signal_5_span_grad,initial_invest_amount_today,invest_amount,transaction_type,transaction_price,transaction_current_gain,profits,accumulate_gain_in_a_day,stop_trade_flg,macd_golden_cross,macd_dead_cross,continuous_macd_golden_cross_count,stoch_golden_cross,stoch_dead_cross,stoch_all_dead_cross,bought_price,sold_price,my_money,trade_count,is_long_position,long_position_period,purchase_price,stop_trading_this_minute,stop_trading_today,prev_gain,current_gain,total_profit_in_a_day,gain_is_negative_from_prev
5655,59388.91,59388.91,59367.22,59375.06,59394.038,59400.123,59376.606,59392.479000000014,4.829745406132133,5.714077648089353,63.98250578852699,58.93576880198984,48.84229482891553,2024-08-17 21:09:59,2024-08-17,2024-08-17 21:10:08,0.5685333333356539,-0.8793020276207244,0.6201428622456934,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5656,59383.09,59385.76,59383.09,59383.11,59386.335999999996,59400.661,59376.949666666675,59390.651,3.6704152613237966,5.305349834008898,55.32135599493262,47.49652660755712,31.84686783280614,2024-08-17 21:10:59,2024-08-17,2024-08-17 21:11:23,0.2548666666698409,-1.3919706417378621,0.21772108534916318,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5657,59389.24,59389.3,59365.44,59365.44,59384.134,59396.84099999999,59377.958333333336,59388.86983333333,1.3107056554799783,4.506422696975629,46.25456634569409,32.331403627535316,4.485078191217781,2024-08-17 21:11:59,2024-08-17,2024-08-17 21:12:06,0.5309333333367249,-1.3390255657432135,-0.09362852016017609,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5658,59387.94,59387.94,59339.32,59339.32,59370.404,59390.293999999994,59377.99600000001,59386.99566666666,-2.6366482456214726,3.0778162623306335,33.074350175002344,19.39512028991459,-7.963339480260913,2024-08-17 21:12:59,2024-08-17,2024-08-17 21:13:06,0.49046666666981764,-2.2018962667149027,-0.5152809058547727,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5659,59368.29,59368.29,59354.67,59354.69,59363.524,59383.51899999999,59378.34866666667,59384.862833333325,-4.473158567590872,1.5676300539089552,20.55439509663002,9.936661372440158,-11.298806075939567,2024-08-17 21:13:59,2024-08-17,2024-08-17 21:14:01,0.33566666666883976,-2.30640303575201,-0.8735044132336502,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5660,59354.7,59354.7,59354.69,59354.7,59359.452000000005,59376.744999999995,59378.960666666666,59382.72416666667,-5.860247995879035,0.08205937434395372,13.878408875648395,12.303444964590431,9.153517142474502,2024-08-17 21:14:59,2024-08-17,2024-08-17 21:15:30,0.47093333333323245,-2.1379986804022337,-1.12640365474908,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5661,59357.07,59362.0,59357.07,59362.0,59355.23,59370.782999999996,59380.13133333334,59380.683666666664,-6.297880920974421,-1.193926525202581,14.539364057688465,21.377985836034807,35.05522939272748,2024-08-17 21:15:59,2024-08-17,2024-08-17 21:16:07,0.6363333333327319,-1.9936592364596435,-1.2998552718422958,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5662,59345.0,59360.63,59345.0,59360.63,59354.268000000004,59369.201,59379.99766666667,59379.30333333333,-6.678274693200365,-2.2907968051215586,19.145360700996232,23.75465130236346,32.97323250509792,2024-08-17 21:16:59,2024-08-17,2024-08-17 21:17:16,0.40786666666681415,-1.5977960697360687,-1.3594439004194374,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5663,59362.0,59362.0,59358.04,59358.04,59358.012,59364.208000000006,59380.513000000006,59377.7785,-7.106804691087746,-3.253994732522955,23.407887541845003,25.09102548713675,28.45730137772025,2024-08-17 21:17:59,2024-08-17,2024-08-17 21:18:01,0.5033999999999651,-0.8940312890932546,-1.2663621989707177,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
5664,59360.05,59360.05,59335.1,59336.84,59354.441999999995,59358.98299999999,59379.609000000004,59375.886666666665,-9.05272898577823,-4.413741741167193,21.84159712021189,16.679114571135457,6.354149472982591,2024-08-17 21:18:59,2024-08-17,2024-08-17 21:19:03,0.25206666666636013,-0.9159140836374717,-1.1962743590152296,997923.4758369018,992584.4626101225,stop_trading,-99.9,0.0,0.0,-0.5350122886228048,0,0,0,0,0,0,0,-99.9,-99.9,992584.4626101225,0,False,0,-99.9,False,True,0.0,0.0,-5339.013226779294,0
